Reference,Account Number,Description,Start Balance,Mutation,End Balance
190388,NL93ABNA0585619023,Subscription from Daniël Bakker,82.99,+12.06,95.05
112806,NL56RABO0149876948,Tickets for Willem King,90.49,+4.6,95.09
116032,NL91RABO0315273637,Flowers from Rik de Vries,99.54,-24.14,75.4
133252,NL32RABO0195610843,Clothes from Richard King,84.92,-1.96,82.96
112806,NL69ABNA0433647324,Subscription from Rik Dekker,96.18,+15.87,112.05
112806,NL90ABNA0585647886,Clothes from Jan de Vries,39.8,+26.41,66.21
118402,NL43AEGO0773393871,Flowers from Rik de Vries,17.42,+32.47,49.89
131279,NL90ABNA0585647886,Candy from Daniël de Vries,90.44,-27.19,63.25
164566,NL74ABNA0248990274,Flowers from Richard Theuß,57.21,+48,105.21
110986,NL69ABNA0433647324,Subscription from Daniël de Vries,80.97,+37.86,118.83
